latitude,longitude,acq_date,acq_time,satellite,instrument,year,month,week,duration,REGIONNAME,HRname,confidence
4.8473,36.78197,2023-03-30,11:36,A,MODIS,2023,3,13,24h,SNNPR,SNNPR,82
4.8473,36.78197,2023-03-30,11:36,A,MODIS,2023,3,13,48h,SNNPR,SNNPR,82
4.8473,36.78197,2023-03-30,11:36,A,MODIS,2023,3,13,7d,SNNPR,SNNPR,82
4.84865,36.78534,2023-03-29,10:36,N,VIIRS,2023,3,13,24h,SNNPR,SNNPR,50
4.84865,36.78534,2023-03-29,10:36,N,VIIRS,2023,3,13,48h,SNNPR,SNNPR,50
4.84865,36.78534,2023-03-29,10:36,N,VIIRS,2023,3,13,7d,SNNPR,SNNPR,50
5.30321,37.02745,2023-03-29,10:36,N,VIIRS,2023,3,13,24h,SNNPR,SNNPR,50
5.30321,37.02745,2023-03-29,10:36,N,VIIRS,2023,3,13,48h,SNNPR,SNNPR,50
5.30321,37.02745,2023-03-29,10:36,N,VIIRS,2023,3,13,7d,SNNPR,SNNPR,50
5.3043,44.59033,2023-03-28,22:40,1,VIIRS,2023,3,13,48h,Somali,Somali,50
5.3043,44.59033,2023-03-28,22:40,1,VIIRS,2023,3,13,7d,Somali,Somali,50
5.34526,44.58944,2023-03-26,10:41,1,VIIRS,2023,3,12,7d,Somali,Somali,50
5.60752,40.77579,2023-03-27,10:21,1,VIIRS,2023,3,13,7d,Somali,Somali,50
5.6097,40.77811,2023-03-27,10:21,1,VIIRS,2023,3,13,7d,Somali,Somali,50
5.6967,35.21246,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
5.86225,43.6242,2023-03-24,23:07,N,VIIRS,2023,3,12,7d,Somali,Somali,50
5.8636,43.62347,2023-03-24,22:16,1,VIIRS,2023,3,12,7d,Somali,Somali,50
5.91298,39.11168,2023-03-28,10:56,N,VIIRS,2023,3,13,48h,Oromia,Oromia,50
5.91298,39.11168,2023-03-28,10:56,N,VIIRS,2023,3,13,7d,Oromia,Oromia,50
5.91353,39.11178,2023-03-28,10:56,N,VIIRS,2023,3,13,48h,Oromia,Oromia,50
5.91353,39.11178,2023-03-28,10:56,N,VIIRS,2023,3,13,7d,Oromia,Oromia,50
5.93086,38.99574,2023-03-28,10:56,N,VIIRS,2023,3,13,48h,Oromia,Oromia,50
5.93086,38.99574,2023-03-28,10:56,N,VIIRS,2023,3,13,7d,Oromia,Oromia,50
5.99941,38.00764,2023-03-28,10:56,N,VIIRS,2023,3,13,48h,Oromia,Oromia,50
5.99941,38.00764,2023-03-28,10:56,N,VIIRS,2023,3,13,7d,Oromia,Oromia,50
6.12112,35.36691,2023-03-24,10:30,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.13901,35.3843,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.13935,35.38419,2023-03-24,10:30,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
