year,month,latitude,longitude,common_feature,fire_count,fire
2000,11,44824.5,195271.7,5118,1457.0,411
2000,12,44824.5,195271.7,5118,3174.0,778
2001,1,44824.5,195271.7,5118,3939.0,999
2001,2,44824.5,195271.7,5118,3772.0,1014
2001,3,44824.5,195271.7,5118,3066.0,863
2001,4,44824.5,195271.7,5118,1292.0,506
2001,5,44824.5,195271.7,5118,471.0,193
2001,6,44824.5,195271.7,5118,11.0,9
2001,7,44824.5,195271.7,5118,36.0,15
2001,8,44824.5,195271.7,5118,22.0,16
2001,9,44824.5,195271.7,5118,50.0,32
2001,10,44824.5,195271.7,5118,66.0,48
2001,11,44824.5,195271.7,5118,1127.0,372
2001,12,44824.5,195271.7,5118,2339.0,762
2002,1,44824.5,195271.7,5118,3186.0,908
2002,2,44824.5,195271.7,5118,5873.0,1304
2002,3,44824.5,195271.7,5118,1931.0,635
2002,4,44824.5,195271.7,5118,1587.0,563
2002,5,44824.5,195271.7,5118,424.0,216
2002,6,44824.5,195271.7,5118,57.0,30
2002,7,44824.5,195271.7,5118,110.0,65
2002,8,44824.5,195271.7,5118,112.0,64
2002,9,44824.5,195271.7,5118,437.0,148
2002,10,44824.5,195271.7,5118,990.0,286
2002,11,44824.5,195271.7,5118,6587.0,885
2002,12,44824.5,195271.7,5118,7869.0,1046
2003,1,44824.5,195271.7,5118,8173.0,1198
2003,2,44824.5,195271.7,5118,8548.0,1362
2003,3,44824.5,195271.7,5118,5531.0,1227
2003,4,44824.5,195271.7,5118,2984.0,813
2003,5,44824.5,195271.7,5118,999.0,369
2003,6,44824.5,195271.7,5118,59.0,44
2003,7,44824.5,195271.7,5118,77.0,42
2003,8,44824.5,195271.7,5118,93.0,54
2003,9,44824.5,195271.7,5118,141.0,77
2003,10,44824.5,195271.7,5118,1140.0,351
2003,11,44824.5,195271.7,5118,5919.0,825
2003,12,44824.5,195271.7,5118,7393.0,1144
2004,1,44824.5,195271.7,5118,8390.0,1185
2004,2,44824.5,195271.7,5118,8444.0,1436
2004,3,44824.5,195271.7,5118,8332.0,1499
2004,4,44824.5,195271.7,5118,2581.0,664
2004,5,44824.5,195271.7,5118,909.0,313
