latitude,longitude,acq_date,acq_time,satellite,instrument,year,month,week,duration,Mandal_Nam,Dist_Name,confidence
15.88322,77.8022,2023-02-24,8:24,1,VIIRS,2023,2,8,7d,Rajoli,Jogulamba Gadwal,50
15.88562,78.13135,2023-02-24,8:22,1,VIIRS,2023,2,8,7d,Alampur,Jogulamba Gadwal,50
15.93327,77.98738,2023-02-22,7:20,1,VIIRS,2023,2,8,7d,Manopad,Jogulamba Gadwal,50
15.95922,78.00124,2023-02-27,7:26,1,VIIRS,2023,2,9,24h,Undavelly,Jogulamba Gadwal,50
15.95922,78.00124,2023-02-27,7:26,1,VIIRS,2023,2,9,48h,Undavelly,Jogulamba Gadwal,50
15.95922,78.00124,2023-02-27,7:26,1,VIIRS,2023,2,9,7d,Undavelly,Jogulamba Gadwal,50
15.99624,78.00607,2023-02-26,8:37,N,VIIRS,2023,2,8,24h,Undavelly,Jogulamba Gadwal,50
15.99624,78.00607,2023-02-26,8:37,N,VIIRS,2023,2,8,48h,Undavelly,Jogulamba Gadwal,50
15.99624,78.00607,2023-02-26,8:37,N,VIIRS,2023,2,8,7d,Undavelly,Jogulamba Gadwal,50
16.02541,77.67336,2023-02-22,5:12,T,MODIS,2023,2,8,7d,Aiza,Jogulamba Gadwal,53
16.08253,78.80362,2023-02-26,7:45,1,VIIRS,2023,2,8,24h,Amrabad,Nagarkurnool,50
16.08253,78.80362,2023-02-26,7:45,1,VIIRS,2023,2,8,48h,Amrabad,Nagarkurnool,50
16.08253,78.80362,2023-02-26,7:45,1,VIIRS,2023,2,8,7d,Amrabad,Nagarkurnool,50
16.08617,78.80294,2023-02-26,7:45,1,VIIRS,2023,2,8,24h,Amrabad,Nagarkurnool,50
16.08617,78.80294,2023-02-26,7:45,1,VIIRS,2023,2,8,48h,Amrabad,Nagarkurnool,50
16.08617,78.80294,2023-02-26,7:45,1,VIIRS,2023,2,8,7d,Amrabad,Nagarkurnool,50
16.08809,78.4624,2023-02-23,7:54,N,VIIRS,2023,2,8,7d,Kollapur,Nagarkurnool,50
16.08874,78.46647,2023-02-23,7:54,N,VIIRS,2023,2,8,7d,Kollapur,Nagarkurnool,50
16.0893,78.46304,2023-02-23,7:54,N,VIIRS,2023,2,8,7d,Kollapur,Nagarkurnool,50
16.08986,78.45929,2023-02-24,8:24,1,VIIRS,2023,2,8,7d,Kollapur,Nagarkurnool,50
16.08998,78.46709,2023-02-23,7:54,N,VIIRS,2023,2,8,7d,Kollapur,Nagarkurnool,50
16.09013,78.45164,2023-02-24,20:06,N,VIIRS,2023,2,8,7d,Kollapur,Nagarkurnool,50
16.09241,78.45927,2023-02-24,8:24,1,VIIRS,2023,2,8,7d,Kollapur,Nagarkurnool,50
16.09295,78.45744,2023-02-24,7:35,N,VIIRS,2023,2,8,7d,Kollapur,Nagarkurnool,50
16.09398,78.45863,2023-02-24,8:24,1,VIIRS,2023,2,8,7d,Kollapur,Nagarkurnool,50
16.09453,78.46278,2023-02-24,8:24,1,VIIRS,2023,2,8,7d,Kollapur,Nagarkurnool,50
16.09654,78.45862,2023-02-24,8:24,1,VIIRS,2023,2,8,7d,Kollapur,Nagarkurnool,50
16.10091,78.45804,2023-02-24,20:06,N,VIIRS,2023,2,8,7d,Kollapur,Nagarkurnool,50
16.10147,78.80196,2023-02-20,7:48,A,MODIS,2023,2,8,7d,Amrabad,Nagarkurnool,58
16.10153,78.8016,2023-02-20,7:58,1,VIIRS,2023,2,8,7d,Amrabad,Nagarkurnool,50
16.10208,78.80516,2023-02-20,7:58,1,VIIRS,2023,2,8,7d,Amrabad,Nagarkurnool,50
16.10235,78.80253,2023-02-20,7:09,N,VIIRS,2023,2,8,7d,Amrabad,Nagarkurnool,50
16.1035,78.80769,2023-02-20,7:09,N,VIIRS,2023,2,8,7d,Amrabad,Nagarkurnool,50
16.10459,78.81261,2023-02-20,7:09,N,VIIRS,2023,2,8,7d,Amrabad,Nagarkurnool,100
16.10593,78.80817,2023-02-20,7:58,1,VIIRS,2023,2,8,7d,Amrabad,Nagarkurnool,50
16.10702,78.81528,2023-02-20,7:58,1,VIIRS,2023,2,8,7d,Amrabad,Nagarkurnool,50
16.10918,78.781,2023-02-21,7:39,1,VIIRS,2023,2,8,7d,Amrabad,Nagarkurnool,50
16.10943,78.82131,2023-02-21,20:10,1,VIIRS,2023,2,8,7d,Amrabad,Nagarkurnool,50
16.10981,78.78458,2023-02-21,7:39,1,VIIRS,2023,2,8,7d,Amrabad,Nagarkurnool,50
16.11009,78.56325,2023-02-26,8:37,N,VIIRS,2023,2,8,24h,Kollapur,Nagarkurnool,50
16.11009,78.56325,2023-02-26,8:37,N,VIIRS,2023,2,8,48h,Kollapur,Nagarkurnool,50
16.11009,78.56325,2023-02-26,8:37,N,VIIRS,2023,2,8,7d,Kollapur,Nagarkurnool,50
16.11044,78.56642,2023-02-26,8:37,N,VIIRS,2023,2,8,24h,Kollapur,Nagarkurnool,100
16.11044,78.56642,2023-02-26,8:37,N,VIIRS,2023,2,8,48h,Kollapur,Nagarkurnool,100
