latitude,longitude,acq_date,acq_time,satellite,instrument,year,month,week,Mandal_Nam,Dist_Name,confidence
16.05964,78.5348,2023-02-12,800,N,VIIRS,2023,2,6,Kollapur,Nagarkurnool,50
16.0602,78.53841,2023-02-12,800,N,VIIRS,2023,2,6,Kollapur,Nagarkurnool,50
16.06033,78.53378,2023-02-12,847,1,VIIRS,2023,2,6,Kollapur,Nagarkurnool,50
16.0608,78.53876,2023-02-12,847,1,VIIRS,2023,2,6,Kollapur,Nagarkurnool,50
16.06185,78.52681,2023-02-12,839,A,MODIS,2023,2,6,Kollapur,Nagarkurnool,58
16.0621,78.5253,2023-02-12,847,1,VIIRS,2023,2,6,Kollapur,Nagarkurnool,50
16.06296,78.53426,2023-02-12,800,N,VIIRS,2023,2,6,Kollapur,Nagarkurnool,50
16.0631,78.53513,2023-02-12,847,1,VIIRS,2023,2,6,Kollapur,Nagarkurnool,50
16.06353,78.53787,2023-02-12,800,N,VIIRS,2023,2,6,Kollapur,Nagarkurnool,50
16.06361,78.54008,2023-02-12,847,1,VIIRS,2023,2,6,Kollapur,Nagarkurnool,50
16.06568,78.52322,2023-02-12,847,1,VIIRS,2023,2,6,Kollapur,Nagarkurnool,50
16.15183,77.76428,2023-02-12,800,N,VIIRS,2023,2,6,Maldakal,Jogulamba Gadwal,50
16.15519,77.76371,2023-02-12,800,N,VIIRS,2023,2,6,Maldakal,Jogulamba Gadwal,50
16.24229,78.36381,2023-02-11,726,1,VIIRS,2023,2,6,Peddakothapalle,Nagarkurnool,50
16.34936,78.91978,2023-02-11,726,1,VIIRS,2023,2,6,Amrabad,Nagarkurnool,50
16.36415,78.42766,2023-02-11,817,N,VIIRS,2023,2,6,Telkapalle,Nagarkurnool,50
16.39435,77.56058,2023-02-11,726,1,VIIRS,2023,2,6,Makthal,Narayanpet,100
16.40812,77.43964,2023-02-12,800,N,VIIRS,2023,2,6,Krishna,Narayanpet,50
16.4272,77.9675,2023-02-12,847,1,VIIRS,2023,2,6,Peddamandaddi,Wanaparthy,50
16.43262,77.57066,2023-02-12,800,N,VIIRS,2023,2,6,Makthal,Narayanpet,50
16.44261,78.84273,2023-02-12,800,N,VIIRS,2023,2,6,Achampet,Nagarkurnool,50
16.45157,77.88403,2023-02-12,800,N,VIIRS,2023,2,6,Addakal,Mahabubnagar,50
16.45493,77.88346,2023-02-12,800,N,VIIRS,2023,2,6,Addakal,Mahabubnagar,50
16.47979,77.45037,2023-02-12,800,N,VIIRS,2023,2,6,Maganoor,Narayanpet,50
16.51611,77.65424,2023-02-11,726,1,VIIRS,2023,2,6,Narva,Narayanpet,50
16.51924,78.98355,2023-02-11,726,1,VIIRS,2023,2,6,Chandampet,Nalgonda,50
16.55195,78.19746,2023-02-11,726,1,VIIRS,2023,2,6,Bijinapalle,Nagarkurnool,50
16.58838,77.49889,2023-02-11,726,1,VIIRS,2023,2,6,Utkoor,Narayanpet,50
