latitude,longitude,year,week,fire_cnt_before,fire_before,fire_cnt_last_year,fire_last_year,fire_cnt_last_year_same_week,fire_last_year_same_week,Mandal_Nam,Dist_Name,confidence
15.98,78.17,2022,49,0.058823529,0.019607843,0.0,0.0,0,0,Chinnambavi,Wanaparthy,60.58657442
16.0,78.16,2022,48,0.058823529,0.019607843,0.0,0.0,0,0,Chinnambavi,Wanaparthy,60.58657442
16.0,78.17,2022,48,0.098039216,0.039215686,0.0,0.0,0,0,Chinnambavi,Wanaparthy,80.58657442
16.0,78.18,2022,48,0.098039216,0.058823529,0.0,0.0,0,0,Chinnambavi,Wanaparthy,60.58657442
16.0,78.19,2022,47,0.058823529,0.019607843,0.0,0.0,0,0,Chinnambavi,Wanaparthy,60.310118
16.0,78.2,2022,47,0.058823529,0.019607843,0.0,0.0,0,0,Chinnambavi,Wanaparthy,60.310118
16.01,78.17,2022,48,0.098039216,0.039215686,0.0,0.0,0,0,Chinnambavi,Wanaparthy,80.58657442
16.01,78.19,2022,47,0.078431373,0.019607843,0.019607843,0.019607843,0,0,Chinnambavi,Wanaparthy,80.310118
16.02,78.19,2022,47,0.058823529,0.019607843,0.0,0.0,0,0,Chinnambavi,Wanaparthy,60.310118
16.02,78.2,2022,47,0.078431373,0.019607843,0.0,0.0,0,0,Chinnambavi,Wanaparthy,80.310118
16.02,78.76,2022,8,0.058823529,0.019607843,0.078431373,0.039215686,0,0,Amrabad,Nagarkurnool,60.93216658
16.03,78.71,2022,9,0.058823529,0.019607843,0.0,0.0,0,0,Amrabad,Nagarkurnool,60.93216658
16.03,78.72,2022,9,0.156862745,0.019607843,0.0,0.0,0,0,Amrabad,Nagarkurnool,88.0
16.03,78.73,2022,9,0.098039216,0.019607843,0.019607843,0.019607843,0,0,Amrabad,Nagarkurnool,85.0
16.03,78.76,2022,8,0.078431373,0.039215686,0.0,0.0,0,0,Amrabad,Nagarkurnool,68.88637261
16.03,78.77,2022,8,0.098039216,0.019607843,0.039215686,0.019607843,2,1,Amrabad,Nagarkurnool,85.0
16.04,78.72,2022,9,0.098039216,0.019607843,0.039215686,0.019607843,0,0,Amrabad,Nagarkurnool,85.0
16.04,78.74,2022,10,0.058823529,0.019607843,0.039215686,0.039215686,1,1,Amrabad,Nagarkurnool,60.93216658
16.04,78.77,2022,9,0.098039216,0.019607843,0.078431373,0.019607843,0,0,Amrabad,Nagarkurnool,85.0
16.05,78.54,2022,10,0.176470588,0.019607843,0.0,0.0,0,0,Kollapur,Nagarkurnool,89.0
16.05,78.55,2022,10,0.156862745,0.019607843,0.0,0.0,0,0,Kollapur,Nagarkurnool,88.0
16.05,78.69,2022,9,0.058823529,0.019607843,0.019607843,0.019607843,0,0,Amrabad,Nagarkurnool,60.93216658
16.05,78.71,2022,9,0.196078431,0.019607843,0.098039216,0.019607843,0,0,Amrabad,Nagarkurnool,90.0
16.05,78.72,2022,9,0.117647059,0.019607843,0.058823529,0.019607843,0,0,Amrabad,Nagarkurnool,86.0
16.05,78.76,2022,9,0.117647059,0.019607843,0.196078431,0.019607843,0,0,Amrabad,Nagarkurnool,86.0
16.05,78.81,2022,11,0.176470588,0.019607843,0.0,0.0,0,0,Amrabad,Nagarkurnool,89.0
16.06,78.55,2022,10,0.176470588,0.019607843,0.0,0.0,0,0,Kollapur,Nagarkurnool,89.0
16.06,78.7,2022,11,0.058823529,0.019607843,0.156862745,0.019607843,0,0,Amrabad,Nagarkurnool,60.93216658
16.06,78.72,2022,9,0.058823529,0.019607843,0.039215686,0.019607843,0,0,Amrabad,Nagarkurnool,60.93216658
