year,week,latitude,longitude,common_feature,fire_count,fire
2001,4,83908.23,398192.21,5047,2.0,2
2001,6,83908.23,398192.21,5047,4.0,4
2001,8,83908.23,398192.21,5047,2.0,2
2001,9,83908.23,398192.21,5047,1.0,1
2001,14,83908.23,398192.21,5047,1.0,1
2001,21,83908.23,398192.21,5047,1.0,1
2002,9,83908.23,398192.21,5047,4.0,4
2002,51,83908.23,398192.21,5047,1.0,1
2002,52,83908.23,398192.21,5047,1.0,1
2003,2,83908.23,398192.21,5047,1.0,1
2003,3,83908.23,398192.21,5047,3.0,3
2003,4,83908.23,398192.21,5047,7.0,7
2003,5,83908.23,398192.21,5047,16.0,15
2003,6,83908.23,398192.21,5047,2.0,2
2003,7,83908.23,398192.21,5047,1.0,1
2003,8,83908.23,398192.21,5047,2.0,2
2003,10,83908.23,398192.21,5047,3.0,3
2003,11,83908.23,398192.21,5047,1.0,1
2003,19,83908.23,398192.21,5047,1.0,1
2003,21,83908.23,398192.21,5047,2.0,2
2003,22,83908.23,398192.21,5047,6.0,6
2004,2,83908.23,398192.21,5047,2.0,2
2004,4,83908.23,398192.21,5047,1.0,1
2004,7,83908.23,398192.21,5047,5.0,5
2004,8,83908.23,398192.21,5047,8.0,8
2004,9,83908.23,398192.21,5047,10.0,10
2004,10,83908.23,398192.21,5047,16.0,16
2004,11,83908.23,398192.21,5047,19.0,18
2004,12,83908.23,398192.21,5047,16.0,15
2004,13,83908.23,398192.21,5047,5.0,5
2004,16,83908.23,398192.21,5047,2.0,2
2004,49,83908.23,398192.21,5047,2.0,2
2004,50,83908.23,398192.21,5047,2.0,2
2004,51,83908.23,398192.21,5047,4.0,4
2004,52,83908.23,398192.21,5047,5.0,5
2005,1,83908.23,398192.21,5047,5.0,4
2005,2,83908.23,398192.21,5047,6.0,6
2005,3,83908.23,398192.21,5047,5.0,4
2005,4,83908.23,398192.21,5047,6.0,6
2005,6,83908.23,398192.21,5047,17.0,17
2005,7,83908.23,398192.21,5047,16.0,15
2005,8,83908.23,398192.21,5047,14.0,14
2005,9,83908.23,398192.21,5047,13.0,13
2005,11,83908.23,398192.21,5047,1.0,1
2005,12,83908.23,398192.21,5047,4.0,4
2005,13,83908.23,398192.21,5047,1.0,1
2006,5,83908.23,398192.21,5047,1.0,1
2006,6,83908.23,398192.21,5047,3.0,3
2006,7,83908.23,398192.21,5047,8.0,8
2006,8,83908.23,398192.21,5047,10.0,10
2006,9,83908.23,398192.21,5047,1.0,1
2006,10,83908.23,398192.21,5047,1.0,1
2006,11,83908.23,398192.21,5047,1.0,1
2006,12,83908.23,398192.21,5047,6.0,6
2006,13,83908.23,398192.21,5047,3.0,2
2006,14,83908.23,398192.21,5047,2.0,2
2006,19,83908.23,398192.21,5047,2.0,2
2006,21,83908.23,398192.21,5047,3.0,3
2006,47,83908.23,398192.21,5047,1.0,1
2006,48,83908.23,398192.21,5047,1.0,1
2006,49,83908.23,398192.21,5047,3.0,3
2006,51,83908.23,398192.21,5047,3.0,3
2006,52,83908.23,398192.21,5047,1.0,1
2007,2,83908.23,398192.21,5047,5.0,5
2007,3,83908.23,398192.21,5047,14.0,14
2007,4,83908.23,398192.21,5047,5.0,5
2007,5,83908.23,398192.21,5047,32.0,30
2007,6,83908.23,398192.21,5047,20.0,20
2007,7,83908.23,398192.21,5047,2.0,2
2007,8,83908.23,398192.21,5047,18.0,17
2007,9,83908.23,398192.21,5047,15.0,13
2007,10,83908.23,398192.21,5047,5.0,5
2007,11,83908.23,398192.21,5047,4.0,4
2007,12,83908.23,398192.21,5047,1.0,1
2007,13,83908.23,398192.21,5047,2.0,2
2007,17,83908.23,398192.21,5047,1.0,1
2007,20,83908.23,398192.21,5047,3.0,3
2007,22,83908.23,398192.21,5047,1.0,1
2007,49,83908.23,398192.21,5047,1.0,1
2008,1,83908.23,398192.21,5047,3.0,3
2008,2,83908.23,398192.21,5047,2.0,2
2008,3,83908.23,398192.21,5047,1.0,1
2008,4,83908.23,398192.21,5047,3.0,3
2008,5,83908.23,398192.21,5047,1.0,1
2008,6,83908.23,398192.21,5047,1.0,1
2008,7,83908.23,398192.21,5047,1.0,1
2008,8,83908.23,398192.21,5047,5.0,4
2008,9,83908.23,398192.21,5047,12.0,12
2008,10,83908.23,398192.21,5047,43.0,41
2008,11,83908.23,398192.21,5047,2.0,2
2008,12,83908.23,398192.21,5047,8.0,8
2008,17,83908.23,398192.21,5047,1.0,1
2008,18,83908.23,398192.21,5047,13.0,13
2008,19,83908.23,398192.21,5047,5.0,4
2008,20,83908.23,398192.21,5047,4.0,4
2008,21,83908.23,398192.21,5047,4.0,4
2008,22,83908.23,398192.21,5047,3.0,3
2008,23,83908.23,398192.21,5047,1.0,1
2008,28,83908.23,398192.21,5047,1.0,1
2008,51,83908.23,398192.21,5047,1.0,1
2009,4,83908.23,398192.21,5047,3.0,3
2009,5,83908.23,398192.21,5047,6.0,6
2009,6,83908.23,398192.21,5047,5.0,5
2009,7,83908.23,398192.21,5047,9.0,8
2009,8,83908.23,398192.21,5047,22.0,21
2009,9,83908.23,398192.21,5047,16.0,15
2009,10,83908.23,398192.21,5047,32.0,29
2009,11,83908.23,398192.21,5047,5.0,5
2009,12,83908.23,398192.21,5047,7.0,7
2009,14,83908.23,398192.21,5047,5.0,5
2009,15,83908.23,398192.21,5047,3.0,3
2009,17,83908.23,398192.21,5047,1.0,1
2009,19,83908.23,398192.21,5047,1.0,1
2009,20,83908.23,398192.21,5047,1.0,1
2009,21,83908.23,398192.21,5047,2.0,2
2009,22,83908.23,398192.21,5047,3.0,3
2009,23,83908.23,398192.21,5047,7.0,7
2009,24,83908.23,398192.21,5047,3.0,3
2009,26,83908.23,398192.21,5047,1.0,1
2009,32,83908.23,398192.21,5047,1.0,1
2010,6,83908.23,398192.21,5047,1.0,1
2010,9,83908.23,398192.21,5047,2.0,2
2010,10,83908.23,398192.21,5047,6.0,6
2010,11,83908.23,398192.21,5047,8.0,8
2010,13,83908.23,398192.21,5047,5.0,5
2010,14,83908.23,398192.21,5047,1.0,1
2010,16,83908.23,398192.21,5047,2.0,2
2010,19,83908.23,398192.21,5047,1.0,1
2010,22,83908.23,398192.21,5047,1.0,1
2010,50,83908.23,398192.21,5047,1.0,1
2011,4,83908.23,398192.21,5047,4.0,3
2011,5,83908.23,398192.21,5047,2.0,2
2011,6,83908.23,398192.21,5047,6.0,5
2011,7,83908.23,398192.21,5047,2.0,2
2011,9,83908.23,398192.21,5047,9.0,9
2011,10,83908.23,398192.21,5047,26.0,25
2011,11,83908.23,398192.21,5047,30.0,28
2011,12,83908.23,398192.21,5047,36.0,33
2011,13,83908.23,398192.21,5047,11.0,11
2011,14,83908.23,398192.21,5047,8.0,8
2011,15,83908.23,398192.21,5047,3.0,3
2011,18,83908.23,398192.21,5047,1.0,1
2011,19,83908.23,398192.21,5047,2.0,2
2011,20,83908.23,398192.21,5047,3.0,3
2011,21,83908.23,398192.21,5047,1.0,1
2011,47,83908.23,398192.21,5047,1.0,1
2011,48,83908.23,398192.21,5047,1.0,1
2011,50,83908.23,398192.21,5047,2.0,2
2011,51,83908.23,398192.21,5047,1.0,1
2011,52,83908.23,398192.21,5047,1.0,1
2012,1,83908.23,398192.21,5047,1.0,1
2012,3,83908.23,398192.21,5047,6.0,4
2012,4,83908.23,398192.21,5047,28.0,21
2012,5,83908.23,398192.21,5047,21.0,16
2012,6,83908.23,398192.21,5047,29.0,22
2012,7,83908.23,398192.21,5047,105.0,65
2012,8,83908.23,398192.21,5047,349.0,186
2012,9,83908.23,398192.21,5047,369.0,179
2012,10,83908.23,398192.21,5047,36.0,29
2012,11,83908.23,398192.21,5047,16.0,14
2012,12,83908.23,398192.21,5047,29.0,21
2012,13,83908.23,398192.21,5047,21.0,17
2012,14,83908.23,398192.21,5047,9.0,8
2012,15,83908.23,398192.21,5047,4.0,3
2012,16,83908.23,398192.21,5047,19.0,13
2012,17,83908.23,398192.21,5047,11.0,11
2012,18,83908.23,398192.21,5047,17.0,12
2012,19,83908.23,398192.21,5047,17.0,17
2012,20,83908.23,398192.21,5047,44.0,32
2012,21,83908.23,398192.21,5047,12.0,12
2012,22,83908.23,398192.21,5047,14.0,12
2012,23,83908.23,398192.21,5047,11.0,11
2012,24,83908.23,398192.21,5047,12.0,12
2012,25,83908.23,398192.21,5047,1.0,1
2012,26,83908.23,398192.21,5047,2.0,2
2012,27,83908.23,398192.21,5047,2.0,2
2012,32,83908.23,398192.21,5047,1.0,1
2012,33,83908.23,398192.21,5047,1.0,1
2012,39,83908.23,398192.21,5047,2.0,2
2012,40,83908.23,398192.21,5047,1.0,1
2012,41,83908.23,398192.21,5047,1.0,1
2012,42,83908.23,398192.21,5047,2.0,2
2012,43,83908.23,398192.21,5047,4.0,4
2012,45,83908.23,398192.21,5047,3.0,1
2012,46,83908.23,398192.21,5047,5.0,5
2012,47,83908.23,398192.21,5047,1.0,1
2012,48,83908.23,398192.21,5047,6.0,6
2012,49,83908.23,398192.21,5047,6.0,5
2012,50,83908.23,398192.21,5047,16.0,15
2012,51,83908.23,398192.21,5047,10.0,10
2012,52,83908.23,398192.21,5047,8.0,6
2013,1,83908.23,398192.21,5047,7.0,5
2013,2,83908.23,398192.21,5047,18.0,13
2013,3,83908.23,398192.21,5047,15.0,14
2013,4,83908.23,398192.21,5047,13.0,12
2013,5,83908.23,398192.21,5047,6.0,5
2013,6,83908.23,398192.21,5047,18.0,15
2013,7,83908.23,398192.21,5047,14.0,9
2013,8,83908.23,398192.21,5047,16.0,15
2013,9,83908.23,398192.21,5047,71.0,55
2013,10,83908.23,398192.21,5047,26.0,23
